飞机ID,活动类型,机场,航线,出发机场,到达机场,计划时间,实际时间,延误(分钟),跑道
B1062,出港,OMDB,OMDB-ZGGG,OMDB,ZGGG,01:10:00,01:10:00,0.0,1
B1062,出港,OMDB,OMDB-ZGGG,OMDB,ZGGG,25:10:00,25:10:00,0.0,2
B1062,出港,OMDB,OMDB-ZGGG,OMDB,ZGGG,49:10:00,49:10:00,0.0,1
B1062,入港,OMDB,ZGGG-OMDB,ZGGG,OMDB,08:34:00,08:34:00,0.0,1
B1062,入港,OMDB,ZGGG-OMDB,ZGGG,OMDB,31:54:00,31:54:00,0.0,2
B1062,入港,OMDB,ZGGG-OMDB,ZGGG,OMDB,56:12:00,56:12:00,0.0,1
B1092,出港,ZGGG,ZGGG-ZSWZ,ZGGG,ZSWZ,07:35:00,07:35:00,0.0,1
B1092,出港,ZGGG,ZGGG-ZSWZ,ZGGG,ZSWZ,13:25:00,13:25:00,0.0,2
B1062,出港,ZGGG,ZGGG-OMDB,ZGGG,OMDB,14:50:00,14:50:00,0.0,1
B1121,出港,ZGGG,ZGGG-ZWSH,ZGGG,ZWSH,15:10:00,15:10:00,0.0,2
B1092,出港,ZGGG,ZGGG-ZSWZ,ZGGG,ZSWZ,21:10:00,21:10:00,0.0,1
B1092,出港,ZGGG,ZGGG-ZSWZ,ZGGG,ZSWZ,37:00:00,37:00:00,0.0,2
B1062,出港,ZGGG,ZGGG-OMDB,ZGGG,OMDB,38:50:00,38:50:00,0.0,1
B1092,出港,ZGGG,ZGGG-ZSWZ,ZGGG,ZSWZ,55:45:00,55:45:00,0.0,2
B1121,出港,ZGGG,ZGGG-ZWSH,ZGGG,ZWSH,63:10:00,63:10:00,0.0,1
B1062,出港,ZGGG,ZGGG-OMDB,ZGGG,OMDB,66:40:00,66:40:00,0.0,2
B1092,入港,ZGGG,ZSWZ-ZGGG,ZSWZ,ZGGG,09:20:00,09:20:00,0.0,1
B1092,入港,ZGGG,ZSWZ-ZGGG,ZSWZ,ZGGG,16:11:00,16:11:00,0.0,2
